artefact_id,typology,dataset,source_csv,length_mm,width_mm,thickness_mm,volume_mm3,surface_area_mm2,elongation,flatness,compactness,circularity,rectangularity,diameter_mm,curvature,edge_length_mean,edge_length_std,edge_length_skewness,edge_length_kurtosis,edge_angle_mean_deg,edge_angle_std_deg,edge_angle_skewness,edge_angle_kurtosis,convexity,solidity
RF.c_77,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,60.04,53.83,52.87,5903.42,26576.9,1.115,1.018,0.122811,0.8806,102,0.13,72.0,4.5,4.8,3.415,23.685,4.5415,4.7916,3.4153,23.6846,0,0.9918
RF.c_78,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,43.64,42.06,32.56,2209.05,6976.43,1.038,1.292,0.083929,0.7462,16,0.92,79.4,3.3,5.2,4.017,24.869,3.2716,5.2049,4.0167,24.8695,0,0.9946
RF.c_79,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,65.58,59.99,57.88,4994.31,21269.7,1.093,1.036,0.075398,0.8826,156,0.1,69.0,7.4,6.8,2.715,15.75,7.3731,6.8157,2.7155,15.7504,0,1.0513
RF.c_80,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,50.6,47.14,44.09,4071.18,16086.35,1.073,1.069,0.124184,0.8713,91,0.1,68.9,4.2,4.5,3.427,23.959,4.2272,4.4604,3.4266,23.9594,0,1.0301
RF.c_81,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,55.88,54.4,43.29,3432.6,12400.24,1.027,1.257,0.071053,0.7747,132,0.09,68.5,4.2,4.6,3.341,23.103,4.1618,4.5618,3.3413,23.1033,0,1.0199
RF.c_82,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,48.69,46.33,45.11,4169.97,15666.89,1.051,1.027,0.135731,0.9265,104,0.09,76.2,5.4,5.1,2.753,16.265,5.4128,5.0954,2.7527,16.2654,0,1.0322
RF.c_83,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,48.68,44.67,44.5,2646.6,8562.84,1.09,1.004,0.07424,0.9142,55,0.09,73.3,4.5,4.5,3.517,29.476,4.4948,4.5435,3.5174,29.4765,0,0.987
RF.c_84,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,49.76,46.55,31.44,2736.83,9552.26,1.069,1.48,0.077533,0.6319,37,0.08,74.7,3.7,3.7,3.411,27.478,3.7395,3.7335,3.4109,27.4784,0,1.003
RF.c_85,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,54.95,52.69,43.58,3873.86,15906.16,1.043,1.209,0.095871,0.7931,48,0.11,68.7,4.0,4.3,3.648,27.985,3.9910,4.3425,3.6480,27.9846,0,1.0055
RF.c_87,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,59.92,58.92,52.34,3810.24,14373.82,1.017,1.126,0.06682,0.8736,70,0.1,71.9,4.1,4.5,3.316,22.247,4.1376,4.5274,3.3163,22.2471,0,1.0072
RF.c_88,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,66.08,64.37,48.27,4869.79,22563.3,1.027,1.334,0.078183,0.7304,62,0.1,71.0,6.0,5.4,2.435,12.089,5.9549,5.3731,2.4347,12.0893,0,1.0086
RF.c_89,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,69.21,68.43,53.41,6949.42,35386.9,1.011,1.281,0.106752,0.7717,140,0.15,64.8,5.2,6.4,6.308,82.728,5.2314,6.4175,6.3080,82.7277,5,1.0549
RF.c_9,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,42.6,40.17,37.09,2710.77,8689.36,1.061,1.083,0.11238,0.8707,19,0.22,80.8,3.4,4.9,4.943,40.93,3.3997,4.8525,4.9430,40.9300,0,0.989
RF.c_90,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,65.71,60.32,39.19,5446.67,26934.29,1.089,1.539,0.094935,0.5964,83,0.11,74.0,4.7,4.4,2.893,17.713,4.6520,4.4416,2.8926,17.7129,0,1.0047
RF.c_91,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,41.72,36.21,35.97,2161.2,6327.58,1.152,1.007,0.087158,0.8623,27,0.2,72.2,4.3,5.1,3.709,25.528,4.2692,5.0555,3.7091,25.5279,0,0.9916
RF.c_92,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,46.73,46.22,38.9,3614.21,13898.08,1.011,1.188,0.136205,0.8325,47,0.11,69.5,3.3,3.7,3.665,28.083,3.2850,3.6866,3.6652,28.0834,0,0.9871
RF.c_93,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,50.99,40.41,34.14,2691.24,8602.67,1.262,1.183,0.064901,0.6697,31,0.13,72.1,7.1,6.9,3.084,20.566,7.0641,6.9012,3.0841,20.5657,1,1.0152
RF.c_96,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,53.52,51.03,43.26,2830.34,8112.09,1.049,1.18,0.052927,0.8083,78,0.1,74.2,5.3,5.8,3.547,25.757,5.3481,5.7522,3.5466,25.7571,0,0.9652
RF.c_97,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,46.68,39.41,33.44,2021.12,5668.21,1.184,1.179,0.055734,0.7163,46,0.08,75.8,4.8,6.2,4.787,45.161,4.7901,6.1636,4.7865,45.1607,3,1.0029
RF.c_98,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,48.17,42.02,37.56,2311.96,6421.96,1.146,1.119,0.057447,0.7798,49,0.08,65.5,4.3,4.5,3.486,28.831,4.2743,4.4745,3.4858,28.8308,0,0.9945
RF.c_99,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,52.9,47.7,39.88,2708.0,7894.25,1.109,1.196,0.053321,0.7539,17,0.18,70.3,7.8,7.6,3.056,19.208,7.7945,7.5923,3.0562,19.2084,1,0.9838
CTC_1,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,65.31,59.22,48.48,5305.13,22491.4,1.103,1.222,0.080736,0.7422,17,0.14,71.2,6.7,5.7,2.327,11.333,6.7154,5.6718,2.3267,11.3327,0,0.9985
CTC_10,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,35.92,26.26,19.79,1628.96,4184.02,1.368,1.327,0.090295,0.551,36,0.07,72.4,7.1,7.8,3.635,26.821,7.0824,7.7751,3.6351,26.8214,3,1.0238
CTC_100,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,48.29,47.0,39.15,2761.13,10913.76,1.027,1.201,0.096924,0.8107,14,0.09,65.7,6.4,6.7,3.988,36.106,6.4259,6.6911,3.9878,36.1063,4,1.0047
CTC_1000,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,51.42,50.9,31.37,2514.46,7064.75,1.01,1.622,0.051954,0.6101,158,0.12,67.2,6.1,5.8,2.558,13.716,6.1217,5.7684,2.5582,13.7161,0,1.0038
CTC_1002,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,37.78,35.57,29.36,1702.22,3383.35,1.062,1.212,0.062753,0.7772,42,0.15,78.3,7.8,6.7,2.17,10.126,7.7769,6.7342,2.1703,10.1255,0,1.0071
CTC_1003,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,35.41,28.11,25.69,1491.73,2679.1,1.26,1.094,0.060325,0.7254,23,0.18,71.3,9.3,7.7,1.894,7.352,9.2536,7.7130,1.8942,7.3520,0,1.0002
CTC_1004,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,17.42,17.07,12.26,284.75,270.1,1.021,1.393,0.051054,0.7035,13,0.12,72.9,3.1,4.2,5.973,70.135,3.1085,4.2161,5.9726,70.1352,0,0.9178
CTC_1006,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,38.93,38.33,37.41,2629.17,7712.54,1.016,1.025,0.130689,0.961,47,0.19,68.2,14.1,12.0,2.235,10.231,14.1359,12.0086,2.2351,10.2310,5,1.0459
CTC_1007,Flake,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,58.09,44.43,30.1,2172.98,4435.96,1.308,1.476,0.022629,0.5181,27,0.16,71.9,6.0,5.4,2.741,16.236,5.9545,5.4018,2.7413,16.2358,0,0.9426
CTC_1008,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,57.36,55.67,47.24,3395.87,11304.57,1.03,1.178,0.059888,0.8235,124,0.11,74.2,3.8,3.7,2.741,14.435,3.8063,3.7118,2.7410,14.4345,0,1.0054
CTC_1009,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,64.38,62.84,46.84,4782.81,18362.89,1.025,1.342,0.068826,0.7275,326,0.15,72.5,5.6,5.3,2.713,17.844,5.5869,5.3133,2.7132,17.8436,0,1.04
CTC_101,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,40.58,37.19,23.52,1953.65,5374.57,1.091,1.581,0.08044,0.5797,10,0.12,74.2,5.5,6.4,4.296,40.801,5.5201,6.3897,4.2957,40.8013,3,0.9872
CTC_1010,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,53.0,47.62,43.59,3452.59,12236.49,1.113,1.092,0.082197,0.8225,175,0.12,68.1,5.9,5.4,2.351,11.232,5.9492,5.3521,2.3510,11.2320,0,1.027
CTC_1011,Blade,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,50.24,37.64,25.94,2024.0,3567.25,1.335,1.451,0.028138,0.5164,21,0.17,66.7,6.3,6.4,3.492,23.662,6.3451,6.3640,3.4923,23.6624,0,0.9087
CTC_1013,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,18.65,6.75,4.83,144.29,54.16,2.764,1.398,0.008346,0.2588,6,0.01,80.0,3.5,3.0,2.289,18.37,3.5015,3.0316,2.2890,18.3695,0,0.9188
CTC_1014,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,64.16,46.66,25.94,2859.44,6100.74,1.375,1.799,0.023099,0.4043,36,0.23,69.5,9.1,6.9,1.437,4.151,9.1477,6.9245,1.4366,4.1515,0,0.9648
CTC_1015,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,37.18,37.0,29.48,1775.08,4320.74,1.005,1.255,0.0841,0.7931,52,0.12,75.8,8.6,7.5,2.27,10.707,8.5820,7.5106,2.2702,10.7070,0,0.9737
CTC_1016,Blade,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,52.8,28.23,22.19,1301.68,1439.8,1.87,1.272,0.009781,0.4203,14,0.19,64.1,4.7,4.8,3.651,29.08,4.7298,4.7929,3.6507,29.0799,0,0.8875
CTC_1018,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,51.48,48.92,40.42,2593.5,7055.39,1.052,1.21,0.051708,0.7851,69,0.16,73.5,10.2,8.7,2.131,9.088,10.1811,8.6911,2.1311,9.0884,0,1.018
CTC_1019,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,34.58,32.49,19.4,973.87,1251.71,1.064,1.675,0.030273,0.561,37,0.13,61.7,5.2,5.5,3.523,23.483,5.1663,5.5332,3.5234,23.4833,0,0.9587
CTC_102,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,24.12,21.53,21.38,977.01,1201.58,1.12,1.007,0.085674,0.8866,18,0.11,68.6,8.8,10.0,3.607,23.346,8.8088,9.9767,3.6070,23.3459,5,0.9825
CTC_1020,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,29.82,28.33,24.18,1251.48,2033.6,1.053,1.172,0.076721,0.811,23,0.14,66.1,9.1,8.7,2.738,14.876,9.0619,8.7459,2.7375,14.8763,1,1.0138
CTC_1022,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,13.19,6.27,3.58,121.56,41.09,2.103,1.75,0.01791,0.2718,12,0.01,74.2,3.2,3.1,4.157,53.915,3.2252,3.1044,4.1572,53.9150,0,0.9777
CTC_1023,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,36.73,19.5,17.29,1144.72,2208.69,1.883,1.128,0.044577,0.4707,35,0.12,79.6,6.4,6.3,2.748,15.023,6.4045,6.2648,2.7477,15.0234,0,0.9933
CTC_1024,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,36.1,34.62,20.22,1173.2,2091.12,1.043,1.712,0.044444,0.5602,16,0.11,63.4,9.2,9.5,3.277,20.678,9.1725,9.4512,3.2765,20.6781,4,0.9791
CTC_1025,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,18.55,8.99,6.45,179.12,98.99,2.063,1.393,0.015501,0.3479,8,0.01,78.1,3.2,2.9,2.921,33.156,3.1659,2.8805,2.9215,33.1559,0,0.9663
CTC_1026,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,33.37,29.52,23.29,1305.23,2348.56,1.13,1.267,0.063206,0.698,39,0.15,70.8,8.3,7.2,2.124,9.969,8.3281,7.2252,2.1236,9.9689,0,1.0131
CTC_103,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,39.24,32.15,28.43,2496.92,7575.93,1.22,1.131,0.125381,0.7246,21,0.08,74.3,4.9,4.8,3.146,24.828,4.8980,4.7525,3.1460,24.8283,0,0.9919
CTC_1034,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,7.57,4.12,2.12,41.63,12.65,1.838,1.941,0.029127,0.2802,11,0.01,76.2,4.0,3.7,2.862,29.822,3.9766,3.6691,2.8619,29.8220,0,0.9812
CTC_1035,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,18.33,5.1,4.67,153.52,71.43,3.594,1.093,0.011591,0.2545,8,0.02,80.5,2.8,3.0,3.61,26.72,2.7614,2.9756,3.6097,26.7203,0,0.9606
CTC_104,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,97.28,86.2,85.96,13165.47,84400.86,1.129,1.003,0.091686,0.8836,69,0.47,63.4,13.8,11.1,1.722,6.174,13.8163,11.0979,1.7215,6.1740,5,1.0588
CTC_105,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,36.53,34.58,31.86,1643.89,3618.94,1.056,1.086,0.074247,0.8721,12,0.24,71.3,9.6,9.1,2.828,16.718,9.6033,9.1403,2.8279,16.7179,3,0.9933
CTC_1054,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,18.25,13.59,9.17,276.86,247.56,1.342,1.483,0.040755,0.5025,26,0.02,77.3,2.7,2.6,2.439,10.564,2.6768,2.6157,2.4391,10.5643,0,0.9863
CTC_1055,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,20.09,8.32,4.37,167.56,70.16,2.415,1.905,0.008657,0.2174,9,0.01,79.2,3.7,4.3,8.242,174.758,3.6684,4.2681,8.2418,174.7579,4,0.952
CTC_1056,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,21.27,8.31,6.62,174.99,55.45,2.561,1.254,0.005762,0.3114,4,0.05,81.3,2.7,2.7,3.081,26.055,2.7389,2.7008,3.0807,26.0555,0,0.9286
CTC_1057,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,20.48,10.95,5.13,219.72,111.73,1.871,2.132,0.013003,0.2506,11,0.01,80.2,3.0,2.9,3.302,36.611,2.9541,2.8955,3.3017,36.6107,0,0.9493
CTC_1058,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,10.22,4.97,3.53,69.24,21.72,2.056,1.408,0.020328,0.3455,4,0.03,80.0,2.8,3.0,4.03,39.755,2.7990,3.0418,4.0297,39.7551,0,0.9622
CTC_1060,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,15.5,8.35,3.38,174.98,72.6,1.856,2.475,0.019483,0.2177,12,0.02,79.4,2.7,3.1,4.821,51.855,2.6775,3.0570,4.8207,51.8546,0,0.9742
CTC_1061,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,10.32,3.83,3.76,64.76,16.62,2.696,1.018,0.015125,0.3644,17,0.02,79.2,3.1,4.1,3.733,27.984,3.0529,4.1264,3.7329,27.9838,0,0.9352
CTC_1067,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,14.78,7.67,5.94,197.5,111.12,1.926,1.291,0.034445,0.4021,21,0.02,75.2,3.2,3.0,3.597,42.412,3.1771,3.0408,3.5968,42.4117,0,0.9793
CTC_1071,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,34.93,11.29,11.19,383.23,226.35,3.095,1.008,0.005309,0.3204,6,0.01,80.0,3.3,3.3,3.449,38.524,3.3467,3.3171,3.4490,38.5243,0,0.9183
CTC_1088,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,43.39,42.33,32.85,2133.8,5577.26,1.025,1.289,0.068275,0.7571,27,0.14,73.1,8.8,7.4,2.283,12.086,8.7755,7.4197,2.2831,12.0860,0,1.0066
CTC_1089,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,27.45,23.45,22.12,1061.89,1737.91,1.171,1.06,0.083999,0.8056,114,0.11,74.1,10.2,10.2,2.612,12.637,10.2148,10.1773,2.6122,12.6365,2,1.073
CTC_1090,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,14.49,5.84,4.11,105.94,38.61,2.482,1.421,0.0127,0.2836,13,0.01,79.5,3.4,3.3,3.192,30.736,3.4311,3.2621,3.1919,30.7358,0,0.9661
CTC_1091,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,15.46,11.97,2.9,151.99,55.59,1.291,4.134,0.015042,0.1873,3,0.01,79.5,2.9,2.7,3.16,28.835,2.8521,2.6939,3.1597,28.8349,0,0.9786
CTC_1092,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,10.74,6.14,2.14,81.77,25.96,1.749,2.872,0.020966,0.1991,19,0.02,78.3,3.5,3.9,4.742,50.102,3.4840,3.8810,4.7421,50.1024,0,0.9814
CTC_1094,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,6.43,4.04,2.83,31.49,8.83,1.591,1.426,0.03322,0.4408,10,0.01,76.5,3.6,3.3,2.45,13.02,3.5702,3.3015,2.4503,13.0197,0,0.9615
CTC_1095,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,5.35,2.38,1.72,21.86,4.62,2.251,1.383,0.030133,0.3211,4,0.02,77.7,4.0,3.8,2.971,24.44,4.0178,3.8038,2.9706,24.4403,0,0.9779
CTC_1096,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,15.47,6.42,2.95,128.15,47.11,2.409,2.174,0.012719,0.191,20,0.01,78.3,3.5,3.6,4.83,73.157,3.5046,3.5720,4.8302,73.1574,0,0.9756
CTC_11,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,62.82,60.77,55.11,5725.89,29203.44,1.034,1.103,0.117807,0.8773,66,0.19,70.0,6.3,5.4,2.062,9.565,6.3280,5.3707,2.0616,9.5647,0,1.0088
CTC_1120,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,21.29,12.89,9.68,366.18,230.16,1.652,1.332,0.023837,0.4544,23,0.01,77.8,3.8,3.3,5.032,92.744,3.8010,3.3063,5.0317,92.7441,0,0.9622
CTC_1127,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,35.56,31.68,24.73,1174.82,2225.12,1.123,1.281,0.049468,0.6954,19,0.12,66.3,8.1,7.9,2.919,17.109,8.1399,7.9270,2.9186,17.1089,0,0.9869
CTC_1131,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,16.19,6.19,2.58,141.12,56.34,2.615,2.402,0.013272,0.1592,15,0.01,81.0,3.2,3.1,3.748,45.816,3.2358,3.1167,3.7475,45.8158,0,0.9471
CTC_1137,Flake,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,52.6,52.06,37.19,2496.29,3576.4,1.01,1.4,0.024576,0.7071,45,0.15,69.6,5.4,5.5,3.426,27.916,5.3923,5.5353,3.4255,27.9160,0,0.8927
CTC_1149,Flake,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,40.6,34.61,27.04,1403.03,2576.28,1.173,1.28,0.038508,0.666,18,0.22,66.0,5.2,5.3,3.069,20.648,5.1803,5.2583,3.0688,20.6476,0,0.9718
CTC_1152,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,36.73,34.51,31.21,1438.88,2524.13,1.065,1.106,0.050925,0.8497,25,0.12,66.7,7.7,7.4,2.829,17.038,7.6970,7.3819,2.8292,17.0378,0,0.9851
CTC_1157,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,53.47,42.32,33.09,1875.43,3558.51,1.264,1.279,0.023274,0.6187,16,0.11,70.8,6.1,6.0,3.005,20.323,6.1032,5.9753,3.0052,20.3230,0,0.8982
CTC_1158,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,18.04,7.7,6.78,144.78,49.72,2.343,1.135,0.008475,0.3758,8,0.01,77.9,3.1,2.8,3.183,44.306,3.0947,2.8281,3.1831,44.3063,0,0.9054
CTC_1159,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,11.04,6.93,3.08,77.62,23.87,1.592,2.25,0.01774,0.2791,16,0.01,79.4,4.0,9.0,12.628,203.123,4.0182,8.9973,12.6282,203.1232,5,0.9845
CTC_1161,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,10.31,5.42,3.04,66.25,18.08,1.903,1.782,0.016487,0.2949,9,0.02,79.1,3.7,3.6,3.557,37.197,3.6785,3.5995,3.5566,37.1966,0,0.9545
CTC_1166,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,8.16,3.89,2.81,40.55,9.89,2.098,1.383,0.018169,0.3447,3,0.02,79.8,3.6,3.5,3.25,30.15,3.5845,3.4604,3.2496,30.1501,0,0.9667
CTC_1168,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,45.34,40.02,34.68,2565.49,5658.79,1.133,1.154,0.060695,0.7649,99,0.11,69.2,8.0,8.0,2.944,17.564,7.9590,8.0281,2.9435,17.5636,2,1.014
CTC_12,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,57.62,51.0,49.11,4951.77,21731.74,1.13,1.038,0.11358,0.8523,50,0.17,64.2,6.2,5.7,2.882,19.711,6.1812,5.6974,2.8821,19.7110,0,1.0134
CTC_1287,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,92.49,90.85,85.67,15070.97,128446.61,1.018,1.061,0.162368,0.9263,153,0.48,69.7,15.1,12.0,1.599,4.973,15.0621,12.0444,1.5989,4.9728,5,1.0761
CTC_1288,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,63.45,55.13,42.39,5497.41,25008.38,1.151,1.301,0.097897,0.668,55,0.23,72.8,9.8,7.8,1.855,7.978,9.7719,7.7620,1.8549,7.9780,1,1.018
CTC_1289,Flake,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,78.62,52.97,40.3,8410.3,38901.0,1.484,1.315,0.080051,0.5125,105,0.29,72.0,16.9,13.5,1.638,5.199,16.9037,13.4918,1.6379,5.1990,5,1.0741
CTC_1290,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,43.69,36.91,34.65,2272.45,4479.58,1.184,1.065,0.053728,0.7933,18,0.15,57.8,12.3,11.0,2.601,13.991,12.2813,10.9937,2.6012,13.9913,5,1.0057
CTC_1292,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,18.91,6.77,3.82,181.21,0.0,2.792,1.772,0.0,0.2021,22,0.01,78.7,2.2,3.2,13.303,611.506,2.1584,3.1777,13.3027,611.5057,5,0.9621
CTC_1293,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,16.92,7.31,4.68,146.58,67.15,2.315,1.561,0.013858,0.2768,8,0.01,76.6,3.2,3.0,3.641,60.197,3.1609,3.0314,3.6410,60.1972,0,0.9667
CTC_1294,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,72.4,65.51,45.15,6270.59,24489.12,1.105,1.451,0.064533,0.6236,103,0.34,67.5,13.5,11.7,2.128,9.003,13.4971,11.6527,2.1284,9.0026,5,1.0461
CTC_1295,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,40.02,37.37,24.19,1684.6,4123.1,1.071,1.545,0.064346,0.6045,22,0.14,69.0,7.9,7.3,2.882,18.597,7.9013,7.2803,2.8818,18.5972,0,1.0022
CTC_1296,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,41.5,28.72,24.92,2023.18,3095.04,1.445,1.153,0.043301,0.6004,19,0.19,72.5,6.9,5.9,2.277,12.426,6.8973,5.8907,2.2772,12.4264,0,0.9618
CTC_1297,Flake,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,40.05,31.42,24.43,1336.5,2571.81,1.275,1.286,0.040035,0.6099,26,0.16,72.9,4.9,4.9,3.407,24.246,4.9260,4.8986,3.4070,24.2460,0,0.9351
CTC_1299,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,35.59,32.48,26.8,1290.72,2406.12,1.096,1.212,0.053396,0.7532,18,0.21,76.2,6.8,6.2,2.45,12.576,6.7680,6.1939,2.4499,12.5758,0,1.0019
CTC_13,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,58.0,53.57,49.2,3918.01,15127.32,1.083,1.089,0.077522,0.8483,53,0.15,70.5,6.4,6.3,3.219,23.749,6.3921,6.3065,3.2193,23.7487,1,1.0096
CTC_1304,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,28.82,27.53,20.97,1352.95,2877.34,1.047,1.313,0.120178,0.7277,69,0.12,69.9,10.6,9.7,2.4,11.466,10.5906,9.6631,2.4000,11.4665,2,1.0816
CTC_1305,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,46.85,42.95,37.14,3305.53,10609.78,1.091,1.157,0.103207,0.7928,32,0.24,71.2,11.5,8.9,1.72,7.106,11.4540,8.8588,1.7197,7.1061,1,1.016
CTC_1308,Tool,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,10.59,7.67,2.64,71.75,23.88,1.381,2.908,0.02011,0.249,8,0.01,77.8,3.7,3.6,2.504,14.107,3.7362,3.5628,2.5039,14.1074,0,0.9691
CTC_1314,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,53.27,44.22,43.87,4156.48,15671.08,1.205,1.008,0.103676,0.8236,102,0.31,66.2,14.1,11.0,1.54,4.778,14.1230,10.9647,1.5396,4.7785,1,1.0783
CTC_1322,Flake,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,42.84,34.04,33.35,1841.69,3805.64,1.259,1.021,0.048405,0.7784,32,0.21,62.2,5.6,5.5,3.09,20.819,5.6402,5.4730,3.0904,20.8189,0,0.988
CTC_1323,Flake,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,35.46,24.39,21.44,1159.05,1732.38,1.454,1.137,0.03886,0.6047,23,0.17,69.7,4.1,4.9,4.802,44.087,4.1488,4.8746,4.8017,44.0875,0,0.9622
CTC_1328,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,61.93,50.84,49.21,4297.26,15743.11,1.218,1.033,0.066285,0.7947,55,0.17,72.9,10.4,8.5,1.913,7.91,10.4322,8.4930,1.9132,7.9102,0,1.0123
CTC_1329,Core,Castelcivita (Vol 2),Castelcivita_3D_metadata.csv,41.87,40.87,27.0,1874.18,4779.1,1.025,1.514,0.065097,0.6448,23,0.12,74.6,5.5,5.4,3.302,26.629,5.4753,5.4392,3.3018,26.6294,0,1.0009
