artefact_id,typology,dataset,source_csv,length_mm,width_mm,thickness_mm,volume_mm3,surface_area_mm2,elongation,flatness,compactness,circularity,rectangularity,diameter_mm,curvature,edge_length_mean,edge_length_std,edge_length_skewness,edge_length_kurtosis,edge_angle_mean_deg,edge_angle_std_deg,edge_angle_skewness,edge_angle_kurtosis,convexity,solidity
RF.b_1650,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,31.86,7.78,6.0,388.89,203.86,4.096,1.296,0.006304,0.1883,5,0.38,68.0,3.8,7.7,6.489,54.526,3.8141,7.6977,6.4890,54.5263,0,0.9254
RF.b_1651,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,40.42,15.23,10.84,775.14,569.84,2.654,1.405,0.008626,0.2681,17,0.32,69.7,4.6,5.7,4.648,34.677,4.5646,5.7478,4.6477,34.6772,0,0.9081
RF.b_202,Tool,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,68.08,49.32,37.51,3687.97,7215.46,1.38,1.315,0.022865,0.5509,18,0.12,68.9,5.8,6.4,4.563,37.38,5.8052,6.3711,4.5628,37.3797,0,0.9039
RF.b_206,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,69.38,50.39,36.54,3344.49,7161.53,1.377,1.379,0.021444,0.5267,52,0.12,66.0,3.8,4.6,3.683,21.67,3.8188,4.6325,3.6828,21.6699,0,0.9078
RF.b_207,Tool,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,57.81,45.84,28.39,2120.61,2413.34,1.261,1.615,0.012489,0.4911,13,0.12,57.0,3.7,4.8,6.126,64.794,3.7096,4.8439,6.1259,64.7941,0,0.9509
RF.b_21,Tool,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,76.56,31.72,30.15,2506.84,3272.43,2.414,1.052,0.007293,0.3938,36,0.16,67.3,5.7,5.9,3.557,25.647,5.7143,5.9253,3.5567,25.6468,0,0.804
RF.b_211,Tool,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,87.3,60.36,28.84,3814.81,6126.2,1.446,2.093,0.009208,0.3303,54,0.22,68.2,6.2,5.6,3.092,24.335,6.2288,5.6344,3.0920,24.3355,0,0.9644
RF.b_223,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,44.81,34.58,22.76,1779.33,2976.96,1.296,1.519,0.033086,0.508,22,0.14,63.6,3.6,4.5,4.62,45.016,3.6496,4.5040,4.6198,45.0161,0,0.9392
RF.b_2280,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,40.83,14.1,12.92,586.68,377.22,2.895,1.092,0.005542,0.3164,9,0.5,67.1,4.2,6.6,5.232,36.451,4.1765,6.5676,5.2325,36.4507,0,0.8168
RF.b_2281,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,48.51,19.43,6.85,895.95,633.67,2.497,2.837,0.00555,0.1411,7,0.45,65.1,3.5,5.7,6.431,59.199,3.4858,5.7123,6.4310,59.1990,0,0.8972
