ID,Scanner,Layer,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
CTC_1354,Artec.Spider,gic,Fine-grained chert,Core-Tool,Other,Other,33-66%,NA,7098.5,2403.17,37.5,23.29999924,34.09999847,Initial carinated
CTC_1355,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,5976.12,2153.42,21.20000076,34,23.5,Semi-circumferential
CTC_1356,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,1-33%,NA,10413.47,3381.06,34.20000076,44.20000076,19.60000038,Multidirectional
CTC_1357,Artec.Spider,gic,Radiolarite,Core,Other,Other,66-99%,NA,10715.5,3159.78,28.79999924,25.70000076,35.70000076,Initial semi-circumferential
CTC_1358,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,33-66%,NA,11451.77,3593.41,37,31.79999924,19,Multidirectional
CTC_1359,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,28326.06,5999.51,49.59999847,35.09999847,35.59999847,Multidirectional
CTC_1360,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,1-33%,NA,28014.31,5982.8,60,43.20000076,26.5,Semi-circumferential
CTC_1361,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,10332.51,2958.68,30.20000076,32.29999924,23.20000076,Multi-platform
CTC_1362,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,1-33%,NA,5467.52,2185.85,35.59999847,26.10000038,16.70000076,Multidirectional
CTC_1363,Artec.Spider,gic,Coarse-grained chert,Core,Other,Other,0%,NA,5909.45,1994.89,29.39999962,27.39999962,17.5,Multi-platform
CTC_1364,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,4432.62,1735.1,24.20000076,17.20000076,32,Multidirectional
CTC_1365,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,1-33%,NA,4461.63,1795.01,28.5,22.5,19.70000076,Multidirectional
CTC_1366,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,33-66%,NA,15125.47,3794.19,29.89999962,42.40000153,29.39999962,Semi-circumferential
CTC_1367,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,66-99%,NA,55068.09,9088.91,67.80000305,31,56.90000153,Initial narrow-sided
CTC_1369,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,1-33%,NA,32098.89,7156.54,65,40,30.5,Undetermined
CTC_1370,Artec.Spider,gic,Coarse-grained chert,Blank,Flake,Semi-cortical,33-66%,Complete,57862.92,11536.88,99,60.40000153,27.29999924,NA
CTC_1371,Artec.Spider,gic,Quartzite,Blank,Flake,Maintenance,33-66%,Complete,17981.8,6132.13,82,46,13.80000019,NA
CTC_1374,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,1-33%,NA,12027.87,3469.67,38.29999924,36.40000153,40.29999924,Semi-circumferential
CTC_14,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,9229.53,2885.87,30.60000038,34.5,22.10000038,Multi-platform
CTC_142,Artec.Micro,rsa',Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,166.83,257.28,18.89999962,7.5,3.200000048,NA
CTC_144,Artec.Micro,rsa',Fine-grained chert,Tool,Bladelet,Maintenance,0%,Complete,212.37,385.07,26.20000076,8.300000191,2.400000095,NA
CTC_145,Artec.Micro,rsa',Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,58.51,154.82,18.20000076,4.300000191,1.5,NA
CTC_146,Artec.Micro,rsa',Coarse-grained chert,Tool,Bladelet,Optimal,0%,Complete,18.6,59.21,9.199999809,3.700000048,1.299999952,NA
CTC_149,Artec.Micro,rsa',Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,40.82,90.3,10.80000019,4.5,1.5,NA
CTC_1498,Artec.Spider,ars,Quartzite,Blank,Blade,Maintenance,0%,Complete,6375.44,3224.67,62.09999847,30.79999924,11.10000038,NA
CTC_15,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,33-66%,NA,10784.81,3096.95,31.39999962,33,40.20000076,Semi-circumferential
CTC_1500,Artec.Spider,gic,Fine-grained chert,Blank,Blade,Maintenance,0%,Complete,1382.97,1077.33,35.09999847,15.89999962,6.800000191,NA
CTC_1501,Artec.Spider,gic,Fine-grained chert,Blank,Flake,Maintenance,0%,Complete,10247.45,3570.8,43.70000076,38,16.20000076,NA
CTC_1502,Artec.Spider,rsa',Fine-grained chert,Blank,Flake,Maintenance,0%,Complete,3254.51,1851.26,35.5,8,6.5,NA
CTC_1503,Artec.Spider,gic,Fine-grained chert,Core-Tool,Blade,Maintenance,0%,Complete,2399.14,1514.26,42.70000076,17.29999924,10.69999981,Burin core
CTC_1505,Artec.Spider,gic,Fine-grained chert,Blank,Flake,Maintenance,0%,Complete,1065.31,843.84,23.39999962,20.29999924,4.800000191,NA
CTC_1506,Artec.Spider,gic,Fine-grained chert,Blank,Flake,Maintenance,0%,Complete,1234.84,975.74,23.20000076,22.5,5.5,NA
CTC_1508,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Semi-cortical,1-33%,Distal,2901.81,1256.88,23,22.79999924,11.5,Carinated
CTC_1509,Artec.Spider,gic,Fine-grained chert,Tool,Flake,Optimal,0%,Distal,840.74,590.75,17,13.69999981,8,NA
CTC_1512,Artec.Spider,rsa',Quartzite,Core,Other,Other,33-66%,NA,6126.98,2067.87,30,25.29999924,24,Multidirectional
CTC_1513,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,1-33%,NA,8404.46,3002.84,14.5,39.5,29.70000076,Multidirectional
CTC_1515,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,3863.88,1750.5,35.29999924,17.20000076,17.10000038,Bipolar
CTC_1517,Artec.Spider,rsa',Fine-grained chert,Blank,Flake,Maintenance,0%,Complete,5352.82,2816.65,57.40000153,28.20000076,9.100000381,NA
CTC_154,Artec.Micro,rsa',Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,118.17,278.99,23.70000076,7.800000191,1.899999976,NA
CTC_16,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,8063.12,2528.3,21.20000076,31.5,27.70000076,Semi-circumferential
CTC_1660,Artec.Spider,ars,Fine-grained chert,Core,Other,Other,0%,NA,2838.38,1459.52,32,19,15,Bipolar
CTC_17,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,33-66%,NA,17951.14,4546.39,48.59999847,43.09999847,23.60000038,Multidirectional
CTC_1766,Artec.Spider,rsa',Fine-grained chert,Tool,Flake,Optimal,0%,Distal,4092.07,2278.51,49.70000076,22.5,8.899999619,NA
CTC_18,Artec.Spider,rsa',Coarse-grained chert,Core,Other,Other,33-66%,NA,27746.82,5529.33,50.20000076,39.90000153,34.59999847,Multi-platform
CTC_1845,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Maintenance,0%,Complete,44.92,128.79,11.5,7.599999905,1.100000024,NA
CTC_1846,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,10.54,39.28,7.5,2.5,0.899999976,NA
CTC_1847,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,18.67,66.49,9.100000381,3.799999952,1,NA
CTC_1848,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,14.46,48.33,9.199999809,2.5,1.200000048,NA
CTC_1849,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,38.79,97.82,11.30000019,5,1.700000048,NA
CTC_1851,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,25.86,76.77,11,3.200000048,1.299999952,NA
CTC_1870,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,65.54,157.33,14.80000019,6.300000191,1.600000024,NA
CTC_1871,Artec.Micro,gic,Fine-grained chert,Core-Tool,Flake,Optimal,0%,Distal,2880.27,1372.67,16.60000038,26,25.5,Carinated
CTC_1888,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Maintenance,0%,Proximal,478.94,578.49,35.29999924,8.899999619,3.099999905,NA
CTC_1889,Artec.Micro,gic,Fine-grained chert,Core,Flake,Semi-cortical,33-66%,NA,11902.92,3787.47,27.89999962,25.60000038,45.90000153,Undetermined
CTC_1899,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,42.78,114.22,11.80000019,5.699999809,1.700000048,NA
CTC_19,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,33-66%,NA,16830.02,4291.91,42.90000153,46.09999847,26.70000076,Multi-platform
CTC_193,Artec.Micro,rsa',Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,102.67,218.9,20.60000038,5.599999905,1.799999952,NA
CTC_194,Artec.Micro,rsa',Coarse-grained chert,Tool,Bladelet,Optimal,0%,Complete,94.91,220.04,22.5,5,1.399999976,NA
CTC_195,Artec.Micro,rsa',Fine-grained chert,Tool,Bladelet,Maintenance,0%,Complete,685.21,779.58,37.5,11.39999962,3.900000095,NA
CTC_1950,Artec.Micro,rsa',Radiolarite,Core-Tool,Other,Other,0%,NA,20888.17,4805.9,32,37.90000153,51.59999847,Multi-platform carinated
CTC_1954,Artec.Micro,rsa',Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,134.28,287.31,26.79999924,5.599999905,1.700000048,NA
CTC_1961,Artec.Micro,rsa',Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,43.89,114.75,13.80000019,5.099999905,1.299999952,NA
CTC_1963,Artec.Micro,rsa',Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,41.3,94.49,10.39999962,4.599999905,1.700000048,NA
CTC_1965,Artec.Micro,rsa',Fine-grained chert,Core,Other,Other,0%,NA,19019.43,4480.21,36.40000153,37.20000076,28.20000076,Multidirectional
CTC_1966,Artec.Micro,rsa',Fine-grained chert,Core,Other,Other,0%,NA,12609.99,3474.1,28.89999962,45.70000076,19.70000076,Wide-faced flat
CTC_1967,Artec.Micro,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,4383.73,1719.23,29.20000076,25.5,13.80000019,Multi-platform
CTC_2,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,7739.2,2531.28,42.20000076,25.70000076,15.89999962,Semi-circumferential
CTC_20,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,31984.67,6304.39,59.09999847,53.59999847,26.5,Multi-platform
CTC_21,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,33-66%,NA,5245.08,1990,25.10000038,33.40000153,15.5,Wide-faced flat
CTC_217,Artec.Micro,rsa',Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,108.07,259.12,25.20000076,5.599999905,1.600000024,NA
CTC_218,Artec.Micro,rsa',Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,45.79,141.23,18.70000076,4.400000095,1.399999976,NA
CTC_22,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,6255.48,2101.46,31.70000076,31.29999924,19.10000038,Multi-platform
CTC_220,Artec.Spider,rsa',Fine-grained chert,Blank,Blade,Optimal,0%,Complete,1148.16,1109.05,43.2,16.60000038,3.900000095,NA
CTC_221,Artec.Spider,rsa',Fine-grained chert,Blank,Blade,Maintenance,0%,Complete,7573.43,3239.3,62.40000153,26.70000076,9.600000381,NA
CTC_222,Artec.Spider,rsa',Fine-grained chert,Tool,Blade,Semi-cortical,33-66%,Complete,4135.77,2518.69,64.19999695,23.60000038,7.099999905,NA
CTC_223,Artec.Spider,rsa',Fine-grained chert,Tool,Blade,Maintenance,0%,Distal,2524.47,1697.41,NA,15.60000038,7.900000095,NA
CTC_23,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,5370.43,1998.88,32.90000153,22.60000038,20,Semi-circumferential
CTC_230,Artec.Spider,rsa',Fine-grained chert,Tool,Blade,Maintenance,0%,Complete,1796.1,1465.86,58.5,12.10000038,7.400000095,NA
CTC_24,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,4084.39,1511.52,24,22.70000076,19.20000076,Semi-circumferential
CTC_25,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,33-66%,NA,14456.08,3912.9,35.59999847,42.40000153,33.79999924,Multidirectional
CTC_26,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,33-66%,NA,13011.77,3738.64,43.20000076,41.09999847,23.5,Multi-platform
CTC_27,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,5219.49,2046.89,35.20000076,21.79999924,18,Multidirectional
CTC_28,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,8754.26,2566.89,26.5,18.60000038,28.89999962,Initial semi-circumferential
CTC_29,Artec.Spider,rsa',Quartzite,Core,Other,Other,1-33%,NA,4974.51,1798.71,23.70000076,18.20000076,26.5,Narrow-sided
CTC_290,Artec.Spider,rsa',Fine-grained chert,Blank,Flake,Maintenance,33-66%,Complete,15341.9,4979.15,74,47.29999924,13.30000019,NA
CTC_291,Artec.Spider,rsa',Fine-grained chert,Blank,Flake,Initialization,33-66%,Complete,5772.58,2808.43,47.20000076,29.79999924,11,NA
CTC_292,Artec.Spider,rsa',Fine-grained chert,Blank,Flake,Maintenance,0%,Proximal,2707.15,1515.45,NA,34.79999924,7.400000095,NA
CTC_293,Artec.Spider,rsa',Fine-grained chert,Blank,Blade,Optimal,0%,Complete,1311.03,1204.42,49.90000153,14,6.099999905,NA
CTC_295,Artec.Spider,rsa',Fine-grained chert,Blank,Blade,Optimal,0%,Complete,1693.43,1622.59,52,17.60000038,4.599999905,NA
CTC_296,Artec.Spider,rsa',Fine-grained chert,Blank,Blade,Maintenance,0%,Complete,2089.06,1526.61,41.20000076,17.70000076,6,NA
CTC_3,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,5685.07,2436.86,36.5,32.59999847,11.80000019,Wide-faced flat
CTC_30,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,66-99%,NA,45568.27,7523.92,38.09999847,57.40000153,47.70000076,Initial semi-circumferential
CTC_31,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,66-99%,NA,20963.03,4754.74,32.09999847,47.79999924,41.90000153,Initial semi-circumferential
CTC_313,Artec.Spider,rsa',Quartzite,Core,Flake,Semi-cortical,33-66%,NA,149072.62,19531.32,101.5,86.40000153,38,Multidirectional
CTC_32,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,12312.2,3787.96,31.89999962,45.90000153,29.60000038,Wide-faced flat
CTC_321,Artec.Spider,rsa',Fine-grained chert,Tool,Flake,Optimal,0%,Mesial,540.03,527.41,NA,18.79999924,6.099999905,NA
CTC_322,Artec.Spider,rsa',Fine-grained chert,Tool,Flake,Optimal,0%,Undetermined,336.81,302.06,NA,10.39999962,5.599999905,NA
CTC_323,Artec.Spider,rsa',Fine-grained chert,Blank,Bladelet,Maintenance,0%,Distal,442.11,423.36,NA,8,4.699999809,NA
CTC_324,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,2056.5,1079.2,29.39999962,14.19999981,10.10000038,Bipolar
CTC_325,Artec.Spider,rsa',Fine-grained chert,Blank,Flake,Optimal,0%,Complete,3549.71,1729.98,37.59999847,20,14.39999962,NA
CTC_326,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,3006.24,1354.29,30.79999924,18.89999962,11.19999981,Bipolar
CTC_327,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,823.68,597.8,23.20000076,12,7.699999809,Bipolar
CTC_328,Artec.Spider,rsa',Fine-grained chert,Tool,Flake,Optimal,0%,Distal,1162.51,849.11,NA,20.39999962,6.099999905,NA
CTC_329,Artec.Spider,rsa',Fine-grained chert,Core,Flake,Optimal,0%,Complete,1225.04,915.56,26.79999924,21,5.699999809,Bipolar
CTC_33,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,33-66%,NA,14390.77,4296.51,53.59999847,33.79999924,19.39999962,Initial semi-circumferential
CTC_330,Artec.Spider,rsa',Fine-grained chert,Tool,Flake,Optimal,0%,Complete,650.76,618.33,19.79999924,17.70000076,5.400000095,NA
CTC_331,Artec.Spider,rsa',Fine-grained chert,Core,Flake,Undetermined,0%,Undetermined,472.73,459.8,18.20000076,13.39999962,4.5,Bipolar
CTC_332,Artec.Spider,rsa',Fine-grained chert,Core,Flake,Undetermined,1-33%,Complete,1713.57,1010.66,20.79999924,27.29999924,9.199999809,Bipolar
CTC_333,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,1673.18,936.43,24.10000038,19.20000076,9.699999809,Bipolar
CTC_334,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,1527.18,919.92,28.5,15.69999981,7.900000095,Bipolar
CTC_335,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,3082.81,1528.99,35.29999924,21.79999924,9.899999619,Bipolar
CTC_336,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,2202.06,1050.91,24,16.29999924,12.60000038,Bipolar
CTC_337,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,2331.35,1181.74,29.70000076,15.19999981,15.10000038,Bipolar
CTC_338,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,4325.74,1802.68,28.60000038,31.60000038,10.80000019,Bipolar
CTC_339,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,2757.46,1361.79,27.79999924,25.5,12.19999981,Bipolar
CTC_34,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,23846.12,5427.73,48.59999847,41.09999847,26.20000076,Semi-circumferential
CTC_340,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,3893.53,1647.3,33.90000153,22.20000076,13,Bipolar
CTC_341,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,1420.29,779.36,19,19.79999924,9.100000381,Bipolar
CTC_342,Artec.Spider,rsa',Fine-grained chert,Core,Flake,Optimal,0%,Complete,6798.58,2750.33,47.5,31.89999962,14.39999962,Bipolar
CTC_343,Artec.Spider,rsa',Limestone,Core,Other,Other,66-99%,NA,7085.63,2369.43,33.40000153,31.60000038,15.89999962,Bipolar
CTC_344,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,3737.51,1715.36,34.70000076,25.5,10.39999962,Bipolar
CTC_345,Artec.Spider,rsa',Fine-grained chert,Tool,Flake,Maintenance,66-99%,Complete,3319.92,1659.17,32,28.79999924,9.5,NA
CTC_347,Artec.Spider,rsa',Fine-grained chert,Blank,Flake,Optimal,0%,Complete,4199.76,1892.26,43.5,21,16.5,NA
CTC_348,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,66-99%,NA,908.11,620.69,23.60000038,13.5,6.300000191,Bipolar
CTC_349,Artec.Spider,rsa',Fine-grained chert,Core,Flake,Initialization,66-99%,Complete,1075.6,782.28,23.5,17.29999924,8.100000381,Bipolar
CTC_35,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,33-66%,NA,5413.78,1895.4,26.20000076,27.60000038,20.39999962,Semi-circumferential
CTC_350,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,2246.17,1107.6,26.5,19.39999962,14,Bipolar
CTC_351,Artec.Spider,rsa',Fine-grained chert,Tool,Flake,Semi-cortical,1-33%,Complete,4675.44,2252.08,43.90000153,30.60000038,10.80000019,NA
CTC_352,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,1669.82,1001.29,24.70000076,20.70000076,7.599999905,Bipolar
CTC_353,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,1150.48,686.1,18,17.39999962,9.399999619,Bipolar
CTC_354,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,2160.58,1283.95,35.59999847,17.70000076,7,Bipolar
CTC_355,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,3096.02,1376.42,34,13.5,17,Bipolar
CTC_356,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,2975.92,1492.86,25.29999924,23.20000076,11.10000038,Bipolar
CTC_357,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,1944.52,1130.37,29.60000038,17.10000038,11.80000019,Bipolar
CTC_358,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,1409.52,783.51,24.70000076,13.89999962,10.69999981,Bipolar
CTC_359,Artec.Spider,rsa',Fine-grained chert,Core,Flake,Optimal,0%,NA,942.25,826.78,23.39999962,18.29999924,6.300000191,Bipolar
CTC_36,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,8227.4,2661.49,28.5,35.29999924,19.10000038,Semi-circumferential
CTC_360,Artec.Spider,rsa',Quartzite,Core,Other,Other,0%,NA,1187.67,832.85,29,16.70000076,7.699999809,Bipolar
CTC_361,Artec.Spider,rsa',Fine-grained chert,Tool,Flake,Optimal,0%,Complete,1249.71,957.25,16,24,6.199999809,NA
CTC_362,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,1426.9,886.69,28.89999962,10.30000019,14.89999962,Bipolar
CTC_365,Artec.Spider,rsa',Fine-grained chert,Core,Flake,Optimal,0%,Proximal,436.09,438.67,NA,8.399999619,8.300000191,Bipolar
CTC_366,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,615.99,441.86,15.30000019,12,8,Bipolar
CTC_367,Artec.Spider,rsa',Fine-grained chert,Blank,Blade,Maintenance,0%,Complete,3058.49,1667.8,41.20000076,19.5,11.5,NA
CTC_368,Artec.Spider,rsa',Fine-grained chert,Blank,Flake,Optimal,0%,Complete,1489.65,963.1,27.60000038,21.29999924,8.399999619,NA
CTC_369,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,827.8,638.09,24,11.39999962,9,Bipolar
CTC_37,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,21900.18,5157.52,49.79999924,40.59999847,31.20000076,Semi-circumferential
CTC_370,Artec.Spider,rsa',Fine-grained chert,Tool,Flake,Semi-cortical,1-33%,Complete,6094.63,2560.99,43.20000076,29.60000038,10.60000038,NA
CTC_371,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,12188.34,3391.42,37,35,34,Multidirectional
CTC_372,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,5869.9,2260.15,35.70000076,30.29999924,14.5,Bipolar
CTC_375,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,33-66%,NA,5433.83,2552.62,41.59999847,29,10.5,Bipolar
CTC_376,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,6309.06,2196.03,34.59999847,26,17,Multi-platform
CTC_377,Artec.Spider,rsa',Coarse-grained chert,Core,Flake,Semi-cortical,33-66%,NA,8552.39,3019.39,24,51.29999924,19.20000076,Multidirectional
CTC_378,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,15896.45,3977.22,42.40000153,40.59999847,20.89999962,Semi-circumferential
CTC_379,Artec.Spider,rsa',Coarse-grained chert,Core,Flake,Semi-cortical,1-33%,NA,8942.08,2901.89,41.59999847,29,19.5,Multidirectional
CTC_38,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,16382.51,3992.1,30.10000038,43.90000153,31.20000076,Wide-faced flat
CTC_39,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,7424.88,2365.13,28.79999924,35.70000076,17.39999962,Semi-circumferential
CTC_4,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,8674.84,2441.29,31.70000076,27.79999924,18.5,Semi-circumferential
CTC_40,Artec.Spider,rsa',Quartzite,Blank,Flake,Maintenance,0%,Complete,13722.15,4598.81,53.40000153,41,11.39999962,NA
CTC_41,Artec.Spider,rsa',Fine-grained chert,Blank,Flake,Maintenance,0%,Complete,9801.63,3339.06,30.89999962,45.70000076,18.89999962,NA
CTC_42,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,5152.38,2245.85,37.29999924,30.89999962,18.89999962,Semi-circumferential
CTC_43,Artec.Spider,gic,Fine-grained chert,Tool,Flake,Maintenance,0%,Complete,5843.29,2297.17,22.60000038,43.09999847,12.30000019,NA
CTC_44,Artec.Spider,gic,Fine-grained chert,Tool,Blade,Initialization,66-99%,Complete,4529.38,2391.85,50.20000076,23.5,9.5,NA
CTC_45,Artec.Spider,gic,Fine-grained chert,Tool,Flake,Maintenance,0%,Complete,2378.17,1446.29,35.5,19,8.899999619,NA
CTC_46,Artec.Spider,gic,Fine-grained chert,Tool,Blade,Optimal,0%,Proximal,1263.11,1190.27,34.09999847,20.20000076,5.199999809,NA
CTC_48,Artec.Spider,rsa',Coarse-grained chert,Core-Tool,Flake,Semi-cortical,33-66%,NA,14911.86,3900.76,34.90000153,37,21,Carinated
CTC_49,Artec.Spider,rsa',Fine-grained chert,Core-Tool,Flake,Semi-cortical,1-33%,Complete,7448.24,2432.35,20.10000038,26.70000076,17.79999924,Carinated
CTC_5,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,18245.88,4387.41,47.09999847,22.39999962,48.09999847,Narrow-sided
CTC_50,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Maintenance,0%,Complete,8403.6,2629.01,18.39999962,32.29999924,36.59999847,Carinated
CTC_51,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Optimal,0%,Complete,5706.39,2166.43,38.20000076,29.5,14.5,Carinated
CTC_52,Artec.Spider,gic,Fine-grained chert,Tool,Flake,Optimal,0%,Complete,1484.35,966.75,25.79999924,19.20000076,9,NA
CTC_53,Artec.Spider,gic,Coarse-grained chert,Tool,Flake,Maintenance,0%,Complete,9285.22,3232.63,45.79999924,33,18,NA
CTC_54,Artec.Spider,gic,Fine-grained chert,Tool,Flake,Optimal,0%,Distal,3460.93,1935.14,36.59999847,28.29999924,8.5,NA
CTC_55,Artec.Spider,gic,Quartzite,Tool,Flake,Optimal,0%,Complete,3153.69,1743.92,41.40000153,21,7.599999905,NA
CTC_56,Artec.Spider,gic,Fine-grained chert,Tool,Flake,Optimal,0%,Distal,2902.07,1629.23,33.09999847,25.20000076,8.199999809,NA
CTC_57,Artec.Spider,rsa',Fine-grained chert,Tool,Blade,Optimal,0%,Distal,962.74,1016.15,30.39999962,17.39999962,4.199999809,NA
CTC_58,Artec.Spider,rsa',Fine-grained chert,Tool,Blade,Maintenance,1-33%,Distal,3998.59,2471.28,47.29999924,24.29999924,5.900000095,NA
CTC_59,Artec.Spider,rsa',Fine-grained chert,Core-Tool,Flake,Optimal,0%,Complete,6535.8,2124.25,30.20000076,35,18.70000076,Carinated
CTC_6,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,5449.3,2048.64,37.90000153,28.39999962,20.60000038,Semi-circumferential
CTC_60,Artec.Spider,rsa',Fine-grained chert,Core,Undetermined,Other,0%,NA,4788.02,1792.69,21.39999962,31.29999924,16.39999962,Semi-circumferential
CTC_61,Artec.Spider,rsa',Fine-grained chert,Core-Tool,Flake,Maintenance,0%,Undetermined,14613.78,4113.53,38.40000153,45.59999847,21.20000076,Carinated
CTC_62,Artec.Spider,rsa',Fine-grained chert,Core-Tool,Flake,Maintenance,0%,Complete,6839.12,2640,49.59999847,24.89999962,17.79999924,Carinated
CTC_63,Artec.Spider,rsa',Fine-grained chert,Core-Tool,Blade,Initialization,66-99%,Complete,10356.28,3639.48,60.90000153,26.10000038,12.60000038,Carinated
