ID,Scanner,Layer,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
CTC_953,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Optimal,0%,Complete,2245.71,1163.96,26.89999962,22.20000076,10.89999962,Carinated
CTC_954,Artec.Spider,gic,Fine-grained chert,Core-Tool,Undetermined,Optimal,0%,Distal,1259.82,859.35,NA,21.89999962,8.600000381,Carinated
CTC_955,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Optimal,0%,Complete,6931.11,2515.43,37.20000076,31,15.39999962,Carinated
CTC_956,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Optimal,0%,Complete,3693.22,1595.3,34.79999924,19,13.39999962,Carinated
CTC_957,Artec.Spider,ars,Fine-grained chert,Tool,Flake,Optimal,0%,Complete,18090.04,5153.64,70.09999847,41.40000153,20.29999924,NA
CTC_958,Artec.Spider,ars,Fine-grained chert,Core-Tool,Flake,Semi-cortical,1-33%,Complete,2853.42,1311.98,24,27.10000038,13.19999981,Carinated
CTC_959,Artec.Spider,gic,Fine-grained chert,Tool,Flake,Optimal,0%,Complete,3695.28,1713.36,33,28.70000076,16.5,NA
CTC_960,Artec.Spider,gic,Fine-grained chert,Tool,Blade,Semi-cortical,1-33%,Proximal,4328.9,2420.65,48,27.5,9.399999619,NA
CTC_962,Artec.Spider,gic,Fine-grained chert,Tool,Blade,Semi-cortical,33-66%,Distal,1468.42,1006.01,NA,15.10000038,6.5,NA
CTC_964,Artec.Spider,gic,Fine-grained chert,Tool,Blade,Optimal,0%,Complete,2819.59,2163.61,55,24.89999962,6.699999809,NA
CTC_966,Artec.Spider,ars,Fine-grained chert,Tool,Flake,Optimal,0%,Complete,1755.39,1160.3,28.89999962,23.70000076,7.300000191,NA
CTC_970,Artec.Spider,gic,Fine-grained chert,Tool,Blade,Optimal,0%,Distal,760.42,885.98,NA,15.10000038,3.599999905,NA
CTC_971,Artec.Spider,gic,Quartzite,Tool,Flake,Optimal,0%,Undetermined,2110.9,1436.39,35.59999847,23.79999924,5.900000095,NA
CTC_973,Artec.Spider,ars,Fine-grained chert,Tool,Flake,Optimal,0%,Complete,1531.41,1020.77,29.39999962,17.70000076,8.199999809,NA
CTC_974,Artec.Spider,gic,Fine-grained chert,Core,Flake,Semi-cortical,1-33%,NA,1979.06,1187.79,27.79999924,25.70000076,7.300000191,Bipolar
CTC_975,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Semi-cortical,1-33%,NA,4276.91,1861.25,16,25.29999924,23.79999924,Carinated
CTC_976,Artec.Micro,ars,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,526.96,753.62,46.09999847,9.199999809,2.799999952,NA
CTC_977,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,4704.28,1916.1,20.39999962,27.5,19.79999924,Multi-platform
CTC_978,Artec.Spider,ars,Fine-grained chert,Core-Tool,Flake,Semi-cortical,1-33%,NA,6024.83,2395.28,35.29999924,12.39999962,35.79999924,Multi-platform carinated
CTC_979,Artec.Spider,gic,Fine-grained chert,Core-Tool,Other,Other,0%,NA,8569.8,2725.63,44,18.79999924,25,Carinated
CTC_98,Artec.Spider,rsa',Fine-grained chert,Tool,Flake,Optimal,0%,Complete,10696.74,3594.21,37.29999924,44.5,16,NA
CTC_980,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Semi-cortical,1-33%,NA,12313.44,3427.86,20,42.20000076,31.5,Carinated
CTC_981,Artec.Spider,ars,Fine-grained chert,Core-Tool,Flake,Optimal,0%,Complete,22589,4743.2,23.79999924,49.40000153,42.20000076,Multi-platform carinated
CTC_982,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,1-33%,NA,16397.47,4115.46,38.09999847,23,43.70000076,Semi-circumferential
CTC_985,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Semi-cortical,1-33%,NA,9533.56,2769.59,22,34.70000076,36.79999924,Carinated
CTC_986,Artec.Spider,gic,Fine-grained chert,Core,Flake,Optimal,0%,NA,11109.4,3081.29,17,33.09999847,30.89999962,Undetermined
CTC_988,Artec.Spider,gic,Fine-grained chert,Tool,Blade,Optimal,0%,Proximal,2925.7,1825.2,NA,23.29999924,6.300000191,NA
CTC_989,Artec.Spider,gic,Fine-grained chert,Core-Tool,Other,Other,33-66%,NA,9657.89,2794.39,25.5,25,30.89999962,Carinated
CTC_99,Artec.Spider,rsa',Fine-grained chert,Tool,Flake,Semi-cortical,1-33%,Distal,4586.91,2004.32,27.20000076,36,9.899999619,NA
CTC_990,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Distal,207.98,331.95,NA,7.699999809,2.400000095,NA
CTC_991,Artec.Spider,gic,Fine-grained chert,Core,Flake,Semi-cortical,33-66%,NA,13395.14,4086.08,25.70000076,45.20000076,43.90000153,Undetermined
CTC_992,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Semi-cortical,1-33%,NA,12121.6,3658.66,24.79999924,36.29999924,50,Carinated
CTC_993,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Semi-cortical,1-33%,NA,5010.92,1779.61,20,27.29999924,32.59999847,Carinated
CTC_994,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,1-33%,NA,7835.56,2547.33,35.59999847,25,30,Semi-circumferential
CTC_995,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,1-33%,NA,11860.51,3417.25,37,31,35.90000153,Multidirectional
CTC_996,Artec.Spider,gic,Fine-grained chert,Core,Flake,Optimal,0%,NA,1102.4,663.94,18.10000038,18.60000038,7.800000191,Wide-faced flat
CTC_997,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,29.38,70.54,8.600000381,4.400000095,1.899999976,NA
CTC_998,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,107.95,216.64,16.89999962,8.300000191,1.600000024,NA
CTC_999,Artec.Spider,gic,Fine-grained chert,Blank,Blade,Maintenance,0%,Complete,2916.17,2095.15,59.59999847,17.5,7.199999809,NA
