ID,Site,Stratigraphic_unit,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
RF.b_6159,Fumane,A2,Scaglia.Variegata,Blank,Bladelet,Optimal,NA,0%,Complete,44.18579865,159.5468654,19.8,5.9,0.8,RF.b_6159.ply,1 unit = 1mm,14876,0.166513,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6160,Fumane,A2,Maiolica,Blank,Bladelet,Maintenance,NA,0%,Complete,202.8720398,306.7689994,28,5.1,3,RF.b_6160.ply,1 unit = 1mm,28286,0.167769,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6165,Fumane,A2,Maiolica,Blank,Bladelet,Semi-cortical,NA,1-33%,Complete,250.8510284,497.2842804,33.7,7.7,1.6,RF.b_6165.ply,1 unit = 1mm,46970,0.165477,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6166,Fumane,A2,Maiolica,Blank,Bladelet,Maintenance,NA,1-33%,Complete,381.13974,671.5288298,36,10.7,1.9,RF.b_6166.ply,1 unit = 1mm,62838,0.166313,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6168,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,304.6483154,525.0964468,32,10.3,2.2,RF.b_6168.ply,1 unit = 1mm,49040,0.166585,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6170,Fumane,A2,Scaglia.Variegata,Blank,Bladelet,Optimal,NA,0%,Complete,178.5332642,421.9530507,28.5,10.2,1.4,RF.b_6170.ply,1 unit = 1mm,40938,0.163566,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6171,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,114.2833862,248.2546838,22.3,5.8,1.8,RF.b_6171.ply,1 unit = 1mm,22030,0.170497,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6174,Fumane,A2,Scaglia.Variegata,Blank,Bladelet,Optimal,NA,0%,Complete,49.46178055,136.1162867,17.6,4.2,1.2,RF.b_6174.ply,1 unit = 1mm,12602,0.166864,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6175,Fumane,A2,Maiolica,Blank,Bladelet,Semi-cortical,NA,1-33%,Complete,82.53881073,180.2075561,20,5.2,1.7,RF.b_6175.ply,1 unit = 1mm,15878,0.171717,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6176,Fumane,A2,Undetermined,Blank,Bladelet,Optimal,NA,0%,Complete,91.90274811,252.1691707,23.4,7.3,1.2,RF.b_6176.ply,1 unit = 1mm,24194,0.164379,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6186,Fumane,A2,Undetermined,Tool,Bladelet,Optimal,NA,0%,Complete,82.89996338,202.7440259,21.3,5.1,1.1,RF.b_6186.ply,1 unit = 1mm,18160,0.169696,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6202,Fumane,A2,Scaglia.Variegata,Blank,Flake,Initialization,NA,1-33%,Complete,620.6634521,710.9643415,31.2,11.7,5.3,RF.b_6202.ply,1 unit = 1mm,65672,0.16712,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6294,Fumane,A2,Maiolica,Core-Tool,Flake,Initialization,Carinated,66-99%,Complete,13395.54102,3532.109112,26,35.3,43.4,RF.b_6294.ply,1 unit = 1mm,1000000,0.094798,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6295,Fumane,A2.internal,Maiolica,Core-Tool,Flake,Initialization,Carinated,66-99%,Complete,11614.08984,3375.474977,19.8,33.6,40.3,RF.b_6295.ply,1 unit = 1mm,800000,0.105887,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6303,Fumane,A2,Maiolica,Core-Tool,Flake,Semi-cortical,Carinated,1-33%,Complete,6790.408203,2150.126707,16,29.1,30.1,RF.b_6303.ply,1 unit = 1mm,800000,0.084137,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6335,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,0%,Complete,1168.22168,1230.50781,50,15,4.1,RF.b_6335.ply,1 unit = 1mm,105948,0.172546,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6348,Fumane,A2,Undetermined,Tool,Blade,Maintenance,NA,1-33%,Complete,4218.400879,2828.411408,71.1,22.8,4.9,RF.b_6348.ply,1 unit = 1mm,400000,0.135209,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6387,Fumane,A2,Radiolarite,Blank,Blade,Maintenance,NA,100%,Complete,7520.760254,3404.461959,64.4,29.4,8.1,RF.b_6387.ply,1 unit = 1mm,400000,0.147739,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6388,Fumane,A1,Radiolarite,Blank,Bladelet,Maintenance,NA,0%,Complete,342.3427124,466.5455075,32,7.9,3.1,RF.b_6388.ply,1 unit = 1mm,44320,0.164915,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6401,Fumane,A2,Radiolarite,Blank,Blade,Maintenance,NA,0%,Complete,1667.338623,1453.89969,58.8,12.3,5.5,RF.b_6401.ply,1 unit = 1mm,379556,0.101152,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6418,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,1-33%,Complete,2344.14917,1656.380499,44,18.5,7.3,RF.b_6418.ply,1 unit = 1mm,400000,0.104459,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6422,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,0%,Complete,2709.190674,1899.299267,54.1,20,10.5,RF.b_6422.ply,1 unit = 1mm,400000,0.105797,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6430,Fumane,A2,Maiolica,Blank,Blade,Semi-cortical,NA,1-33%,Complete,1127.958984,1199.177932,44.7,12.6,3.6,RF.b_6430.ply,1 unit = 1mm,112250,0.166033,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
