ID,Scanner,Unit,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
RF.b_354,Artec.Spider,A2,Undetermined,Core-Tool,Other,Other,0%,Undetermined,1273.053589,885.454309,30,17.10000038,8.300000191,Carinated
RF.b_3733,Artec.Spider,A2.internal,Maiolica,Blank,Flake,Maintenance,33-66%,Complete,15913.77344,4685.227074,65,25,24,NA
RF.b_40,Artec.Spider,A1,Maiolica,Tool,Blade,Semi-cortical,33-66%,Complete,1221.238647,1117.799814,42.4,15.2,4.8,NA
RF.b_4087,Micro-CT,A2,Maiolica,Blank,Bladelet,Maintenance,0%,Complete,120.4636307,234.890462,26.6,4.2,3.2,NA
RF.b_4114,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,102.9416504,209.9771884,21,6.2,1.8,NA
RF.b_4124,Artec.Spider,A2,Maiolica,Blank,Blade,Maintenance,0%,Proximal,2110.514404,1849.63363,51.7,18,5.8,NA
RF.b_4125,Artec.Spider,A2,Maiolica,Blank,Blade,Maintenance,0%,Complete,2020.713013,1937.812491,53,24.2,3.6,NA
RF.b_4126,Artec.Spider,A2,Maiolica,Blank,Flake,Maintenance,0%,Complete,1402.946411,1618.018537,45,25.4,4.3,NA
RF.b_4140,Micro-CT,A2,Maiolica,Blank,Blade,Maintenance,1-33%,Complete,788.461792,1114.06973,57.9,15,3.5,NA
RF.b_4142,Micro-CT,A2,Maiolica,Blank,Blade,Maintenance,0%,Complete,1010.294678,1076.927145,47.5,12.4,4.5,NA
RF.b_4172,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,131.4978943,278.8946762,20.9,8.7,1.3,NA
RF.b_4178,Micro-CT,A2,Undetermined,Blank,Bladelet,Maintenance,0%,Complete,694.0354004,712.4617588,39.1,7.7,5.3,NA
RF.b_4215,Micro-CT,A2,Maiolica,Blank,Blade,Maintenance,0%,Complete,1113.125732,1080.313703,41.1,13.4,4.1,NA
RF.b_4216,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,875.8886719,965.0332459,50,8.5,4.4,NA
RF.b_4220,Artec.Spider,A2,Maiolica,Blank,Blade,Maintenance,33-66%,Complete,2838.000977,2054.099332,61.7,20.2,6.6,NA
RF.b_4251,Micro-CT,A2,Maiolica,Blank,Blade,Semi-cortical,1-33%,Complete,949.9386597,1190.740164,48.1,15.3,2.5,NA
RF.b_4270,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,390.097168,505.9842373,28,10,3,NA
RF.b_4299,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,389.8163452,632.4013542,34.4,10.9,2.6,NA
RF.b_4344,Micro-CT,A1,Maiolica,Blank,Bladelet,Initialization,0%,Complete,455.1174927,501.4088597,33,6,5.8,NA
RF.b_4413,Micro-CT,A1,Maiolica,Blank,Bladelet,Optimal,0%,Proximal,552.4464111,671.3102121,37.5,9.1,4,NA
RF.b_442,Micro-CT,A1,Maiolica,Tool,Blade,Maintenance,1-33%,Complete,651.9435425,753.8576747,31,13.6,2.5,NA
RF.b_4425,Micro-CT,A1,Maiolica,Blank,Bladelet,Maintenance,0%,Complete,339.9841309,524.6671753,29.6,10.5,2.5,NA
RF.b_4426,Micro-CT,A1,Maiolica,Blank,Bladelet,Optimal,0%,Complete,386.9177551,543.1502992,27.8,11.2,3,NA
RF.b_4427,Micro-CT,A1,Maiolica,Blank,Bladelet,Maintenance,0%,Complete,561.4089355,649.4838761,30.2,10.3,2.5,NA
RF.b_4470,Micro-CT,A1,Maiolica,Blank,Bladelet,Optimal,0%,Proximal,254.0212097,428.2153365,28.2,7.3,2.4,NA
RF.b_4490,Micro-CT,A1,Maiolica,Blank,Bladelet,Optimal,0%,Complete,200.4996185,328.558449,25,8.2,2.3,NA
RF.b_4501,Artec.Spider,A1,Maiolica,Blank,Blade,Maintenance,1-33%,Complete,4272.984375,2431.871949,57.2,24.2,9.9,NA
RF.b_4532,Artec.Spider,A1,Scaglia.Variegata,Blank,Blade,Optimal,0%,Complete,945.4864502,1022.862118,40.7,14.9,3.5,NA
RF.b_4561,Artec.Spider,A1,Maiolica,Blank,Blade,Optimal,0%,Proximal,2536.852539,2036.016638,65.5,17.6,5,NA
RF.b_4589,Micro-CT,A1,Scaglia.Variegata,Blank,Blade,Optimal,0%,Distal,527.7451172,781.4391248,39.8,14.4,3,NA
RF.b_4606,Micro-CT,A1,Maiolica,Blank,Bladelet,Optimal,0%,Complete,472.6414795,616.2307413,29.5,11.2,3.8,NA
RF.b_4624,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,239.0313416,386.0133553,28,8.2,1.7,NA
RF.b_4636,Artec.Spider,A2,Maiolica,Blank,Blade,Optimal,0%,Proximal,2617.370605,2100.916489,56,22.2,4.7,NA
RF.b_4665,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,239.7881775,405.1327804,25.1,9.5,1.6,NA
RF.b_4697,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,65.99559784,156.5577351,16.3,5.7,1.3,NA
RF.b_475,Artec.Spider,A2,Maiolica,Tool,Blade,Optimal,0%,Complete,2856.960693,2367.29193,56.1,21.6,5.4,NA
RF.b_4752,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,360.3477478,517.6096556,27.2,10.5,1.5,NA
RF.b_4948,Artec.Spider,A1,Eocenic,Blank,Blade,Maintenance,0%,Complete,5143.905762,2768.5789,64,24.5,7.8,NA
RF.b_4966,Artec.Spider,A1,Maiolica,Blank,Blade,Maintenance,1-33%,Complete,1548.411865,1550.243855,50.6,15.8,4.4,NA
RF.b_4977,Micro-CT,A1,Scaglia.Rossa,Blank,Blade,Maintenance,0%,Complete,640.3032227,614.7681516,27.5,12.5,4.5,NA
RF.b_5025,Micro-CT,A1,Maiolica,Blank,Blade,Maintenance,0%,Proximal,1262.771973,988.3392464,36.6,12.8,4.8,NA
RF.b_5043,Micro-CT,A1,Scaglia.Variegata,Blank,Bladelet,Semi-cortical,33-66%,Complete,424.0910645,527.2675752,29.2,10.4,2.3,NA
RF.b_5074,Micro-CT,A1,Maiolica,Blank,Bladelet,Optimal,0%,Proximal,298.3956604,450.566066,25.8,9.4,1.8,NA
RF.b_5150,Micro-CT,A2,Maiolica,Blank,Bladelet,Maintenance,0%,Complete,563.6747437,696.7701979,34.5,11.4,3.1,NA
RF.b_5155,Micro-CT,A2,Maiolica,Blank,Bladelet,Semi-cortical,1-33%,Proximal,837.706604,937.1718532,42.4,11.6,3.4,NA
RF.b_5169,Artec.Spider,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,1829.779541,1848.753217,60.1,16.6,4.9,NA
RF.b_5174,Micro-CT,A2,Scaglia.Variegata,Blank,Bladelet,Optimal,0%,Complete,1016.727478,1117.377806,49.2,11.5,3.6,NA
